Year ,0
1990,0.000425
1991,0.051201014790350795
1992,0.08554249952558514
1993,0.1198839842608195
1994,0.15422546899605383
1995,0.009444444444444445
1996,0.22290843846652256
1997,0.2572499232017569
1998,0.18150998968278131
1999,0.1714863746836272
2000,0.5595238095238095
2001,0.39838193066098954
2002,0.45152188220805306
2003,0.583038239455358
2004,0.6323096723099684
2005,0.8402511695790105
2006,0.745777714194575
2007,1.0789273820587288
2008,1.1384403825672573
2009,1.3069766852868974
2010,1.1564569517775567
2011,3.194325859034775
2012,3.04685011090108
2013,3.9131722271965477
2014,5.1463534323830835
2015,5.275716603416685
2016,5.964057157686669
2017,7.116759972068705
2018,7.732450508938784
2019,8.780796853536012
2020,9.237968881321677
2021,9.837081813281946
2022,10.76589122816813
2023,11.598594074786162
2024,12.510095165823486
2025,13.430729665495347
2026,14.387179300709375
